month,link
mar19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_190302.txt
apr19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_190406.txt
may19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_190504.txt
jun19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_190601.txt
jul19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_190706.txt
aug19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_190803.txt
sep19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_190907.txt
oct19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_191005.txt
nov19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_191102.txt
dec19,http://web.mta.info/developers/data/nyct/turnstile/turnstile_191207.txt
jan20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200104.txt
feb20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200201.txt
mar20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200307.txt
apr20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200404.txt
may20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200502.txt
jun20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200606.txt
jul20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200704.txt
aug20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200801.txt
sep20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_200905.txt
oct20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_201003.txt
nov20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_201107.txt
dec20,http://web.mta.info/developers/data/nyct/turnstile/turnstile_201205.txt
jan21,http://web.mta.info/developers/data/nyct/turnstile/turnstile_210102.txt
feb21,http://web.mta.info/developers/data/nyct/turnstile/turnstile_210130.txt
mar21,http://web.mta.info/developers/data/nyct/turnstile/turnstile_210306.txt
apr21,http://web.mta.info/developers/data/nyct/turnstile/turnstile_210403.txt
may21,http://web.mta.info/developers/data/nyct/turnstile/turnstile_210501.txt